Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey,Mouser
1,Antenna,Antenna,AE1,2450AT42B100,2450AT42B100,1,~,712-1008-1-ND‎,
2,Unpolarized capacitor,C,C11 C17 C20 C22 C23 C25 C26 C28 C29,0.1uF,C_0402_1005Metric,9,~,490-6328-1-ND,
3,Unpolarized capacitor,C,C10,10nF,C_0402_1005Metric,1,~,1276-1051-1-ND,
4,Unpolarized capacitor,C,C2 C4,10uF,C_0603_1608Metric,2,~,478-10766-2-ND,
5,Unpolarized capacitor,C,C30 C31,12pF,C_0402_1005Metric,2,~,490-5924-2-ND,
6,Unpolarized capacitor,C,C3 C5 C21,1uF,C_0402_1005Metric,3,~,399-4873-1-ND,
7,Unpolarized capacitor,C,C1 C12,2.2uF,C_0402_1005Metric,2,~,GRM155R61E225KE11D,
8,Unpolarized capacitor,C,C6,4.7uF,C_0402_1005Metric,1,~,1276-1484-2-ND,
9,Light emitting diode,LED,D1 D2,LED,LED_0603_1608Metric,2,~,SML-D12V1WT86CT-ND,
10,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x08_Female,J1 J2,Biopotentials,ESLO_IO_8_1-27,2,~,ED8250-ND ED90570-ND,
11,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Female,J3,Conn_01x02_Female,ESLO_2pin_THERM,1,~,,
12,Inductor,L,L3,1.5nH,L_0402_1005Metric,1,~,334-1083-2-ND,
13,Inductor,L,L1,2.2uH,L_0805_2012Metric,1,~,490-4994-2-ND,
14,Inductor,L,L4,3.3nH,L_0402_1005Metric,1,~,712-1416-1-ND,
15,"Net tie, 2 pins",Net-Tie_2,NT1,Net-Tie_2,NetTie-2_SMD_Pad0.5mm,1,~,,
16,Resistor,R,R1 R2 R3 R8,100k,LED_0402_1005Metric,4,~,311-100KLRCT-ND,
17,Resistor,R,R4,21.5k,R_0402_1005Metric,1,~,RMCF0402FT21K5CT-ND,
18,Resistor,R,R5,80.6k,R_0402_1005Metric,1,~,RMCF0402FT80K6CT-ND,
19,,2450BM14G0011,U10,2450BM14G0011,2450BM14G0011,1,,712-1620-1-ND,
20,,IS37SML01G1,U7,AS5F18G04SND-10LIN,8x6mm_WSON_UTSO,1,,1450-AS5F34G04SND-08LIN-ND,340-319932-REEL
21,,CC2652RB,U8,CC2652R1FRGZT,QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,1,,,595-CC2652R1FRGZR
22,"I2C/SPI, iNEMO inertial module: always-on 3D accelerometer and 3D gyroscope",LSM6DS3,U3,LSM6DSOXTR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,www.st.com/resource/en/datasheet/lsm6ds3.pdf,497-18367-2-ND,
23,,MAX1720,U1,MAX1720,SOT-23-6,1,,MAX1720EUTGOSCT-ND,
24,,TPS6223xx,U4,TPS6223xx,USON6-1.45x1.00mm-0.5pads,1,,296-39453-2-ND,
25,,TPS72325,U6,TPS72301DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,,296-TPS72301DRVRTR-ND,
26,,TPS7A20_X2SON,U2,TPS7A2015PDQNR,Texas_X2SON-4_1x1mm_P0.65mm,1,,296-TPS7A2015PDQNRTR-ND,
27,Two pin crystal,Crystal,Y2,32.768kHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,~,SER4081TR-ND,
28,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y1,48MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,~,535-13927-2-ND,





Component Groups:,28
Component Count:,46
Fitted Components:,46
Number of PCBs:,1
Total components:,46
Schematic Version:,
Schematic Date:,
BoM Date:,"Monday, May 03, 2021 at 05:46:10 PM"
Schematic Source:,/Users/matt/Box Sync/Biologging/Technology/ESLO_RB2_PSP/ESLO_RB2.sch
KiCad Version:,Eeschema (5.1.5-0-10_14)
