Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey
1,Unpolarized capacitor,C,C1,10uF,C_0603_1608Metric,1,~,478-8050-1-ND‎
2,Light emitting diode,LED,D1,LED,D_0603_1608Metric,1,~,475-3442-1-ND
3,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x08_Female,J3,Conn_01x08_Female,8pin_1-27pitch_SMD,1,~,ED90570-ND
4,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03_Male,J1,LP-P10,PinHeader_1x03_P2.54mm_Vertical,1,conn-SAM8930-ND,A19430-ND
5,"Cortex Debug Connector, standard ARM Cortex-M SWD and JTAG interface",Conn_ARM_JTAG_SWD_10,J2,LP-P7,PinHeader_2x05_P1.27mm_Vertical_SMD,1,http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf,SAM13165CT-ND
6,Capacitor symbol for simulation only,INDUCTOR,L1,2.2uH,R_0805_2012Metric,1,~,490-4994-1-ND‎
7,"Switch, single pole double throw",SW_SPDT,SW1,SW_SPDT,PinSocket_1x03_P2.54mm_Vertical,1,~,360-2133-ND
8,,TPS62243_WSON,U1,TPS62243_WSON,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,,296-46476-1-ND‎





Component Groups:,8
Component Count:,8
Fitted Components:,8
Number of PCBs:,1
Total components:,8
Schematic Version:,
Schematic Date:,
BoM Date:,"Wednesday, June 02, 2021 at 09:28:16 AM"
Schematic Source:,/Users/matt/Box Sync/Biologging/Technology/ESLO_RB2_Programmer/ESLO_RB2_Programmer.sch
KiCad Version:,Eeschema (5.1.5-0-10_14)
